objectid,date,time,common_name,scientific_name,e_bird_group,count,repeat_observation,substrate,sex,breeding_activity,observation_notes,observers,latitude,longitude,starting_time,ending_time,starting_temp_f,starting_percent_cloud_cover,starting_cloud_height,starting_wind_speed,starting_wind_direction,starting_rain,ending_temp_f,ending_percent_cloud_cover,ending_cloud_height,ending_wind_speed,ending_wind_direction,ending_rain,weather_note,creation_date,creator,edit_date,editor,year
293,2018-01-11,2018-01-11T09:00:12Z,Song Sparrow,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.41064077865942,-119.8478030345621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:00:12Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:00:12Z,stratton@ccber.ucsb.edu_ucsb,2018
294,2018-01-11,2018-01-11T09:00:41Z,House Finch,NA,NA,4,No,Vegetation - Tree,NA,No,NA,NA,34.41064289677409,-119.8474564995598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:00:41Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:02:07Z,stratton@ccber.ucsb.edu_ucsb,2018
295,2018-01-11,2018-01-11T09:01:01Z,Anna's Hummingbird,NA,NA,3,No,Vegetation - Shrub,NA,No,NA,NA,34.41076572509812,-119.8474564995598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:01:01Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:05:16Z,stratton@ccber.ucsb.edu_ucsb,2018
296,2018-01-11,2018-01-11T09:01:18Z,Yellow-rumped Warbler,NA,NA,4,No,Vegetation - Tree,NA,No,NA,NA,34.41085890564791,-119.8474693337902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:01:18Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:01:18Z,stratton@ccber.ucsb.edu_ucsb,2018
297,2018-01-11,2018-01-11T09:01:37Z,European Starling,NA,NA,9,No,NA,NA,No,NA,NA,34.41096055703844,-119.8474385305592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:01:37Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:05:03Z,stratton@ccber.ucsb.edu_ucsb,2018
298,2018-01-11,2018-01-11T09:04:49Z,Red-winged Blackbird,NA,NA,17,No,Vegetation - Tree,NA,No,NA,NA,34.41104632474721,-119.847443664431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:04:49Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:04:49Z,stratton@ccber.ucsb.edu_ucsb,2018
299,2018-01-11,2018-01-11T09:06:27Z,Bewick's Wren,NA,NA,NA,No,NA,NA,No,oak titmouse,NA,34.41081760992054,-119.847482168919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:06:27Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:06:27Z,stratton@ccber.ucsb.edu_ucsb,2018
300,2018-01-11,2018-01-11T09:07:04Z,Pied-billed Grebe,NA,NA,1,No,Water - Floating,NA,No,NA,NA,34.41058042348633,-119.8478980116405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:07:04Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:07:04Z,stratton@ccber.ucsb.edu_ucsb,2018
301,2018-01-11,2018-01-11T09:07:22Z,Eared Grebe,NA,NA,1,No,Water - Floating,NA,No,NA,NA,34.41050206649044,-119.8478595071524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:07:22Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:07:22Z,stratton@ccber.ucsb.edu_ucsb,2018
302,2018-01-11,2018-01-11T09:08:52Z,Anna's Hummingbird,NA,NA,1,No,Vegetation - Tree,NA,No,NA,NA,34.41024793713069,-119.8475027044064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:08:52Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:08:52Z,stratton@ccber.ucsb.edu_ucsb,2018
303,2018-01-11,2018-01-11T09:09:08Z,House Finch,NA,NA,2,No,NA,NA,No,NA,NA,34.41013993197458,-119.8474410979442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:09:08Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:09:08Z,stratton@ccber.ucsb.edu_ucsb,2018
304,2018-01-11,2018-01-11T09:09:36Z,Black Phoebe,NA,NA,1,No,Vegetation - Tree,NA,No,NA,NA,34.41016958056443,-119.8475335076375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:09:36Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:09:36Z,stratton@ccber.ucsb.edu_ucsb,2018
305,2018-01-11,2018-01-11T09:10:19Z,Ruddy Duck,NA,NA,4,No,Water - Floating,NA,No,NA,NA,34.41034853020265,-119.847963468282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:10:19Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:10:53Z,stratton@ccber.ucsb.edu_ucsb,2018
306,2018-01-11,2018-01-11T09:11:40Z,Cassin's Kingbird,NA,NA,1,No,Vegetation - Tree,NA,No,NA,NA,34.40906622498404,-119.8485050904145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:11:40Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:11:40Z,stratton@ccber.ucsb.edu_ucsb,2018
307,2018-01-11,2018-01-11T09:12:25Z,Song Sparrow,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.40976219519892,-119.8474904963017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:12:25Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:12:25Z,stratton@ccber.ucsb.edu_ucsb,2018
308,2018-01-11,2018-01-11T09:13:20Z,Great Egret,NA,NA,2,No,Bare ground,NA,No,NA,NA,34.40952207535305,-119.8476079483302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:13:20Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:13:20Z,stratton@ccber.ucsb.edu_ucsb,2018
309,2018-01-11,2018-01-11T09:13:38Z,Brown Pelican,NA,NA,6,No,Vegetation - Tree,NA,No,NA,NA,34.40910381591907,-119.8483677595672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:13:38Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:15:02Z,stratton@ccber.ucsb.edu_ucsb,2018
310,2018-01-11,2018-01-11T09:14:00Z,Double-crested Cormorant,NA,NA,5,No,Vegetation - Tree,NA,No,NA,NA,34.40910169776549,-119.8484190982856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:14:00Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:14:00Z,stratton@ccber.ucsb.edu_ucsb,2018
311,2018-01-11,2018-01-11T09:14:34Z,Pied-billed Grebe,NA,NA,1,No,Water - Floating,NA,No,NA,NA,34.40920017406476,-119.8478736259738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:14:34Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:14:34Z,stratton@ccber.ucsb.edu_ucsb,2018
312,2018-01-11,2018-01-11T09:14:48Z,Eared Grebe,NA,NA,1,No,Water - Floating,NA,No,NA,NA,34.40910487425475,-119.8477979015886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:14:48Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:14:48Z,stratton@ccber.ucsb.edu_ucsb,2018
313,2018-01-11,2018-01-11T09:15:28Z,Western Gull,NA,NA,1,No,Vegetation - Tree,NA,No,NA,NA,34.40908793198907,-119.8483318224642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:15:28Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:15:28Z,stratton@ccber.ucsb.edu_ucsb,2018
314,2018-01-11,2018-01-11T09:15:46Z,Northern Mockingbird,NA,NA,2,No,Vegetation - Shrub,NA,No,NA,NA,34.40965020067249,-119.8474552158672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:15:46Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:15:46Z,stratton@ccber.ucsb.edu_ucsb,2018
315,2018-01-11,2018-01-11T09:16:11Z,Western Scrub-Jay,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.40979738531648,-119.8473114683538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:16:11Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:16:11Z,stratton@ccber.ucsb.edu_ucsb,2018
316,2018-01-11,2018-01-11T09:17:00Z,House Finch,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.4096018517841,-119.8472741029295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:17:00Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:17:00Z,stratton@ccber.ucsb.edu_ucsb,2018
317,2018-01-11,2018-01-11T09:17:19Z,Ruddy Duck,NA,NA,4,No,Water - Floating,NA,No,NA,NA,34.40912815022453,-119.8476156001798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:17:19Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:17:19Z,stratton@ccber.ucsb.edu_ucsb,2018
318,2018-01-11,2018-01-11T09:17:49Z,Lesser Scaup,NA,NA,2,No,Water - Floating,NA,No,NA,NA,34.4092065077663,-119.8480455608242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:17:49Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:17:49Z,stratton@ccber.ucsb.edu_ucsb,2018
319,2018-01-11,2018-01-11T09:18:55Z,Yellow-rumped Warbler,NA,NA,2,No,Vegetation - Tree,NA,No,NA,NA,34.40939604871424,-119.8469058439687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:18:55Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:18:55Z,stratton@ccber.ucsb.edu_ucsb,2018
320,2018-01-11,2018-01-11T09:19:13Z,American Coot,NA,NA,1,No,Water - Floating,NA,No,NA,NA,34.40914191525319,-119.8471247202843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:19:13Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:19:13Z,stratton@ccber.ucsb.edu_ucsb,2018
321,2018-01-11,2018-01-11T09:19:34Z,Pied-billed Grebe,NA,NA,1,No,Water - Floating,NA,No,NA,NA,34.40869824040274,-119.8477215313147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:19:34Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:19:34Z,stratton@ccber.ucsb.edu_ucsb,2018
322,2018-01-11,2018-01-11T09:19:50Z,Ruddy Duck,NA,NA,43,No,Water - Floating,NA,No,NA,NA,34.40923199968737,-119.8470994003697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:19:50Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:22:13Z,stratton@ccber.ucsb.edu_ucsb,2018
323,2018-01-11,2018-01-11T09:22:45Z,Snowy Egret,NA,NA,19,No,Vegetation - Herbaceous,NA,No,NA,NA,34.40818475381078,-119.8473252898327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:22:45Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:29:07Z,stratton@ccber.ucsb.edu_ucsb,2018
324,2018-01-11,2018-01-11T09:23:05Z,Forster's Tern,NA,NA,4,No,NA,NA,No,NA,NA,34.40861116366393,-119.8470335763173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:23:05Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:23:05Z,stratton@ccber.ucsb.edu_ucsb,2018
325,2018-01-11,2018-01-11T09:23:28Z,Song Sparrow,NA,NA,1,No,Vegetation - Tree,NA,No,NA,NA,34.40883391987899,-119.8461203265416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:23:28Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:23:28Z,stratton@ccber.ucsb.edu_ucsb,2018
326,2018-01-11,2018-01-11T09:26:13Z,Double-crested Cormorant,NA,NA,35,No,Water - Floating,NA,No,hunting together,NA,34.40838138309281,-119.8475161593727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:26:13Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:28:27Z,stratton@ccber.ucsb.edu_ucsb,2018
327,2018-01-11,2018-01-11T09:26:42Z,Red-breasted Merganser,NA,NA,2,No,Water - Floating,NA,No,hunting together,NA,34.40900141669309,-119.8466363664514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:26:42Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:26:42Z,stratton@ccber.ucsb.edu_ucsb,2018
328,2018-01-11,2018-01-11T09:27:32Z,Red-breasted Merganser,NA,NA,2,Yes,NA,NA,No,NA,NA,34.40836615641498,-119.84743218486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:27:32Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:27:32Z,stratton@ccber.ucsb.edu_ucsb,2018
329,2018-01-11,2018-01-11T09:28:52Z,Lesser Scaup,NA,NA,4,No,Water - Floating,NA,No,NA,NA,34.40839733089484,-119.8472368587779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:28:52Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:28:52Z,stratton@ccber.ucsb.edu_ucsb,2018
330,2018-01-11,2018-01-11T09:29:33Z,American Wigeon,NA,NA,2,No,Water - Floating,NA,No,NA,NA,34.40835391652079,-119.8468803228315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:29:33Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:29:33Z,stratton@ccber.ucsb.edu_ucsb,2018
331,2018-01-11,2018-01-11T09:29:59Z,Ring-billed Gull,NA,NA,3,No,Water - Floating,NA,No,NA,NA,34.40849474967998,-119.8467683361532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:29:59Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:29:59Z,stratton@ccber.ucsb.edu_ucsb,2018
332,2018-01-11,2018-01-11T09:30:20Z,Hermit Thrush,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.4088738336307,-119.8462254303281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:30:20Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:30:20Z,stratton@ccber.ucsb.edu_ucsb,2018
333,2018-01-11,2018-01-11T09:30:46Z,Black-crowned Night Heron,NA,NA,1,Yes,Vegetation - Tree,NA,No,NA,NA,34.40878912277511,-119.8461728079171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:30:46Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:30:46Z,stratton@ccber.ucsb.edu_ucsb,2018
334,2018-01-11,2018-01-11T09:31:19Z,Song Sparrow,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.40905913976422,-119.8462523824816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:31:19Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:31:19Z,stratton@ccber.ucsb.edu_ucsb,2018
335,2018-01-11,2018-01-11T09:31:48Z,Eared Grebe,NA,NA,2,No,Water - Floating,NA,No,NA,NA,34.40828191122151,-119.8464243676377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:31:48Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:31:48Z,stratton@ccber.ucsb.edu_ucsb,2018
336,2018-01-11,2018-01-11T09:32:13Z,American Crow,NA,NA,1,No,Vegetation - Tree,NA,No,NA,NA,34.40914702757522,-119.8454078637066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:32:13Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:32:13Z,stratton@ccber.ucsb.edu_ucsb,2018
337,2018-01-11,2018-01-11T09:32:37Z,House Finch,NA,NA,1,No,Vegetation - Herbaceous,NA,No,NA,NA,34.40891957489275,-119.8461615107041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:32:37Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:32:37Z,stratton@ccber.ucsb.edu_ucsb,2018
338,2018-01-11,2018-01-11T09:33:07Z,Red-tailed Hawk,NA,NA,1,Yes,Vegetation - Tree,NA,No,NA,NA,34.40794609022704,-119.8464816945258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:33:07Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:33:07Z,stratton@ccber.ucsb.edu_ucsb,2018
339,2018-01-11,2018-01-11T09:33:42Z,House Finch,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.40920971093228,-119.8463103929877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:33:42Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:33:42Z,stratton@ccber.ucsb.edu_ucsb,2018
340,2018-01-11,2018-01-11T09:33:58Z,Ruby-crowned Kinglet,NA,NA,1,No,Vegetation - Tree,NA,No,NA,NA,34.40930994728723,-119.8465779543984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:33:58Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:33:58Z,stratton@ccber.ucsb.edu_ucsb,2018
341,2018-01-11,2018-01-11T09:34:11Z,Song Sparrow,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.40890651019834,-119.8460388987527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:34:11Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:34:11Z,stratton@ccber.ucsb.edu_ucsb,2018
342,2018-01-11,2018-01-11T09:34:25Z,Song Sparrow,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.40909605182603,-119.8462070328311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:34:25Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:34:25Z,stratton@ccber.ucsb.edu_ucsb,2018
343,2018-01-11,2018-01-11T09:35:17Z,Allen's Hummingbird,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.40916382086159,-119.8459875609325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:35:17Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:35:17Z,stratton@ccber.ucsb.edu_ucsb,2018
344,2018-01-11,2018-01-11T09:38:08Z,Brown Pelican,NA,NA,3,No,Vegetation - Tree,NA,No,NA,NA,34.40797398457159,-119.8464642061239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:38:08Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:38:08Z,stratton@ccber.ucsb.edu_ucsb,2018
345,2018-01-11,2018-01-11T09:38:25Z,Double-crested Cormorant,NA,NA,19,No,Vegetation - Tree,NA,No,NA,NA,34.40799903588924,-119.8464893957828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:38:25Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:38:25Z,stratton@ccber.ucsb.edu_ucsb,2018
346,2018-01-11,2018-01-11T09:38:53Z,Western Scrub-Jay,NA,NA,2,No,Vegetation - Tree,NA,No,NA,NA,34.40878473822503,-119.8459875609325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:38:53Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:39:05Z,stratton@ccber.ucsb.edu_ucsb,2018
347,2018-01-11,2018-01-11T09:39:25Z,White-crowned Sparrow,NA,NA,2,No,Vegetation - Shrub,NA,No,NA,NA,34.40885462493164,-119.845755253905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:39:25Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:39:25Z,stratton@ccber.ucsb.edu_ucsb,2018
348,2018-01-11,2018-01-11T09:39:50Z,Song Sparrow,NA,NA,2,No,Vegetation - Shrub,NA,No,NA,NA,34.40892027674576,-119.8454651905948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:39:50Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:39:50Z,stratton@ccber.ucsb.edu_ucsb,2018
349,2018-01-11,2018-01-11T09:41:11Z,Belted Kingfisher,NA,NA,1,No,Vegetation - Tree,NA,No,NA,NA,34.40753307985708,-119.8457105726011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:41:11Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:41:11Z,stratton@ccber.ucsb.edu_ucsb,2018
