objectid,global_id,date,time,common_name,scientific_name,e_bird_group,count,repeat_observation,substrate,sex,breeding_activity,observation_notes,observers,latitude,longitude,temp_start_f,cloud_cover_percent_start,cloud_height_start,wind_speed_start,wind_direction_start,rain_start,time_start,time_end,temp_end_f,cloud_cover_percent_end,cloud_height_end,wind_speed_end,wind_direction_end,rain_end,weather_note,creation_date,creator,edit_date,editor,source_file,starting_time,ending_time,starting_temp_f,starting_percent_cloud_cover,starting_cloud_height,starting_wind_speed,starting_wind_direction,starting_rain,ending_temp_f,ending_percent_cloud_cover,ending_cloud_height,ending_wind_speed,ending_wind_direction,ending_rain,year
32,{1E6BA3C5-DFF5-46C2-A2ED-4EA2A86500C7},2017-12-18,NA,American Coot,NA,NA,2,No,NA,NA,No,NA,NA,34.41098151873152,-119.8505179239121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
33,{EE510472-6CA0-41D0-BAA1-F04ED23D8B14},2017-12-18,NA,Northern Mockingbird,NA,NA,1,No,NA,NA,No,NA,NA,34.41094460824284,-119.8510901714093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
34,{DC8FB253-DC50-43E8-9E2B-D16E7A663CD4},2017-12-18,NA,Ruby-crowned Kinglet,NA,NA,1,No,NA,NA,No,NA,NA,34.41086141506622,-119.851221599427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
35,{7400185A-0291-444A-B5B5-14DB4F7A8C86},2017-12-18,NA,NA,NA,NA,1,No,NA,NA,No,peregrine falcon?,NA,34.41252522878631,-119.8485289748213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
36,{C01BD0A9-A48A-4708-8044-6DC933568679},2017-12-18,NA,Song Sparrow,NA,NA,1,No,NA,NA,No,NA,NA,34.41081717266195,-119.8510214152558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
37,{E748D948-A56B-4FEF-984E-797C170BF30E},2017-12-18,NA,Eared Grebe,NA,NA,3,No,NA,NA,No,NA,NA,34.41101942377944,-119.8499065466994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
38,{5CC38D97-3660-4697-830E-446B4E40382F},2017-12-18,NA,Red-breasted Merganser,NA,NA,10,No,NA,NA,No,NA,NA,34.41063449546253,-119.8483320632127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
39,{F3927396-9CB5-4242-B235-7AD8C7022EAC},2017-12-18,NA,Double-crested Cormorant,NA,NA,2,No,NA,NA,No,NA,NA,34.41056394620077,-119.8482832694214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
40,{2AE42665-759C-49EC-9780-23D95AB42480},2017-12-18,NA,Western Gull,NA,NA,1,No,NA,J,No,NA,NA,34.41121875368286,-119.8501885548165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
41,{5FCE9B67-B8D4-4FFF-BA8F-6D115D08B507},2017-12-18,NA,Western Scrub-Jay,NA,NA,1,No,NA,NA,No,had acorn in beak,NA,34.41042992815643,-119.8506432128431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
42,{057A6E62-ACB5-43AD-AF2E-67DD67996DEF},2017-12-18,NA,NA,NA,NA,1,No,NA,NA,No,thrasher,NA,34.41001453103367,-119.8507295436368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
43,{D78F807C-677E-41F1-9AA5-A4BF8BE3AD04},2017-12-18,NA,Song Sparrow,NA,NA,3,No,NA,NA,No,NA,NA,34.40992189723401,-119.8507366034966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
44,{981ACC59-2698-4180-A3C0-519EC26DEBA1},2017-12-18,NA,American Wigeon,NA,NA,32,No,NA,NA,No,NA,NA,34.40991172085739,-119.8496799960763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
45,{3133EBAF-A366-4DF7-98F4-21B5A0BEB998},2017-12-18,NA,NA,NA,NA,2,No,NA,NA,No,gadwall,NA,34.40995911574034,-119.8496878751996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
46,{D66134EF-9000-4402-86B0-E67177EB81D5},2017-12-18,NA,Common Yellowthroat,NA,NA,1,No,NA,NA,No,NA,NA,34.4095933940423,-119.8505584145752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
47,{9981210D-106F-4B31-91E7-CF6305D5F3A3},2017-12-18,NA,Snowy Egret,NA,NA,1,No,NA,NA,No,NA,NA,34.40937444110047,-119.8502638605868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
48,{365900EE-6BBF-49CB-9F2F-CFBBAA2963A2},2017-12-18,NA,Ruddy Duck,NA,NA,2,No,NA,NA,No,NA,NA,34.4092923202592,-119.8500509517796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
49,{E35D1134-5E13-4AE8-88F0-F8ED51BF3769},2017-12-18,NA,Bufflehead,NA,NA,1,No,NA,NA,No,NA,NA,34.40937921174781,-119.8496198718343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
50,{4650483A-3882-49A3-9EAD-0DD8A6FC4767},2017-12-18,NA,Red-breasted Merganser,NA,NA,20,Yes,NA,NA,NA,NA,NA,34.40972071587197,-119.8500477636587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
51,{32376134-FAF1-4858-BECD-3C1CC65B26ED},2017-12-18,NA,House Finch,NA,NA,4,No,NA,NA,No,flew away from island,NA,34.40937719068909,-119.8493007210751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
52,{5C3D22A4-FBF2-490A-A3B3-BE10F4686F66},2017-12-18,NA,Eared Grebe,NA,NA,2,No,NA,NA,No,NA,NA,34.40910439103707,-119.8501040979085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
53,{B46F0CE1-60E0-4A31-99E2-3F75B7DAE2E6},2017-12-18,NA,Anna's Hummingbird,NA,NA,1,No,NA,NA,No,NA,NA,34.40912122212973,-119.8507727624835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
54,{58DE0356-A711-414E-A431-5E5EB0FFDD86},2017-12-18,NA,Blue-gray Gnatcatcher,NA,NA,1,No,NA,NA,No,NA,NA,34.40896562444095,-119.850789907729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
55,{FE15CA34-6722-4ED5-9B42-462734B0FC84},2017-12-18,NA,Northern Mockingbird,NA,NA,1,No,NA,NA,No,NA,NA,34.40866049068244,-119.8507041815014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
56,{CBA5C435-1D49-4E15-960F-D0056226A05A},2017-12-18,NA,Anna's Hummingbird,NA,NA,3,No,NA,NA,No,NA,NA,34.40853116246486,-119.8505572225108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
57,{ABA46ED8-3C5C-4C3B-A987-A1C4A82E13AB},2017-12-18,NA,Black Phoebe,NA,NA,1,No,NA,NA,No,NA,NA,34.40861600105703,-119.8504472507537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
58,{7BD876B5-604D-4F5A-A419-355BACF4F2E2},2017-12-18,NA,Northern Mockingbird,NA,NA,1,No,NA,NA,No,NA,NA,34.4085311291137,-119.8504203084817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
59,{3E15C616-A05B-4193-A3D5-F2D3CDB023B0},2017-12-18,NA,Eared Grebe,NA,NA,1,No,NA,NA,No,NA,NA,34.40885242969383,-119.8496904111437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
60,{7654B674-0446-4E81-BD9F-D30F0DEFC3AE},2017-12-18,NA,Greater Yellowlegs,NA,NA,1,No,NA,NA,No,NA,NA,34.4089847753062,-119.8505029813356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
61,{A06083A3-FD48-404D-AFA2-80E275883D2E},2017-12-18,NA,American Wigeon,NA,NA,14,No,NA,NA,No,NA,NA,34.40904504565937,-119.8496879614379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
62,{E63CAE8C-9615-4C3E-BD4D-B3C91CF2C5D3},2017-12-18,NA,Ruddy Duck,NA,NA,6,No,NA,NA,No,NA,NA,34.40899117720829,-119.8497247016347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
