date,year,common_name,scientific_name,count,repeat_observation,substrate,observer,objectid,time,e_bird_group,sex,breeding_activity,observation_notes,latitude,longitude,starting_time,ending_time,starting_temp_f,starting_percent_cloud_cover,starting_cloud_height,starting_wind_speed,starting_wind_direction,starting_rain,ending_temp_f,ending_percent_cloud_cover,ending_cloud_height,ending_wind_speed,ending_wind_direction,ending_rain,weather_note,creation_date,creator,edit_date,editor,source_file,water_level,global_id,speed_km_h,direction_of_travel,compass_reading,position_source_type,receiver_name,horizontal_accuracy_m,vertical_accuracy_m,altitude,pdop,hdop,vdop,fix_type,correction_age,station_id,number_of_satellites,fix_time,average_horizontal_accuracy_m,average_vertical_accuracy_m,averaged_positions,standard_deviation_m,x,y,year_from_file
2018-01-11,2018,Red-winged Blackbird,NA,17,No,Vegetation - Tree,NA,298,2018-01-11T09:04:49Z,NA,NA,No,NA,34.41104632474721,-119.847443664431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:04:49Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:04:49Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Bewick's Wren,NA,NA,No,NA,NA,299,2018-01-11T09:06:27Z,NA,NA,No,oak titmouse,34.41081760992054,-119.847482168919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:06:27Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:06:27Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Pied-billed Grebe,NA,1,No,Water - Floating,NA,300,2018-01-11T09:07:04Z,NA,NA,No,NA,34.41058042348633,-119.8478980116405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:07:04Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:07:04Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Eared Grebe,NA,1,No,Water - Floating,NA,301,2018-01-11T09:07:22Z,NA,NA,No,NA,34.41050206649044,-119.8478595071524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:07:22Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:07:22Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Anna's Hummingbird,NA,1,No,Vegetation - Tree,NA,302,2018-01-11T09:08:52Z,NA,NA,No,NA,34.41024793713069,-119.8475027044064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:08:52Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:08:52Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,House Finch,NA,2,No,NA,NA,303,2018-01-11T09:09:08Z,NA,NA,No,NA,34.41013993197458,-119.8474410979442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:09:08Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:09:08Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Black Phoebe,NA,1,No,Vegetation - Tree,NA,304,2018-01-11T09:09:36Z,NA,NA,No,NA,34.41016958056443,-119.8475335076375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:09:36Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:09:36Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Ruddy Duck,NA,4,No,Water - Floating,NA,305,2018-01-11T09:10:19Z,NA,NA,No,NA,34.41034853020265,-119.847963468282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:10:19Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:10:53Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Cassin's Kingbird,NA,1,No,Vegetation - Tree,NA,306,2018-01-11T09:11:40Z,NA,NA,No,NA,34.40906622498404,-119.8485050904145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:11:40Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:11:40Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Song Sparrow,NA,1,No,Vegetation - Shrub,NA,307,2018-01-11T09:12:25Z,NA,NA,No,NA,34.40976219519892,-119.8474904963017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:12:25Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:12:25Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Great Egret,NA,2,No,Bare ground,NA,308,2018-01-11T09:13:20Z,NA,NA,No,NA,34.40952207535305,-119.8476079483302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:13:20Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:13:20Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Brown Pelican,NA,6,No,Vegetation - Tree,NA,309,2018-01-11T09:13:38Z,NA,NA,No,NA,34.40910381591907,-119.8483677595672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:13:38Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:15:02Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Double-crested Cormorant,NA,5,No,Vegetation - Tree,NA,310,2018-01-11T09:14:00Z,NA,NA,No,NA,34.40910169776549,-119.8484190982856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:14:00Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:14:00Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Pied-billed Grebe,NA,1,No,Water - Floating,NA,311,2018-01-11T09:14:34Z,NA,NA,No,NA,34.40920017406476,-119.8478736259738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:14:34Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:14:34Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Eared Grebe,NA,1,No,Water - Floating,NA,312,2018-01-11T09:14:48Z,NA,NA,No,NA,34.40910487425475,-119.8477979015886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:14:48Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:14:48Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Western Gull,NA,1,No,Vegetation - Tree,NA,313,2018-01-11T09:15:28Z,NA,NA,No,NA,34.40908793198907,-119.8483318224642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:15:28Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:15:28Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Northern Mockingbird,NA,2,No,Vegetation - Shrub,NA,314,2018-01-11T09:15:46Z,NA,NA,No,NA,34.40965020067249,-119.8474552158672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:15:46Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:15:46Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Western Scrub-Jay,NA,1,No,Vegetation - Shrub,NA,315,2018-01-11T09:16:11Z,NA,NA,No,NA,34.40979738531648,-119.8473114683538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:16:11Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:16:11Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,House Finch,NA,1,No,Vegetation - Shrub,NA,316,2018-01-11T09:17:00Z,NA,NA,No,NA,34.4096018517841,-119.8472741029295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:17:00Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:17:00Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Ruddy Duck,NA,4,No,Water - Floating,NA,317,2018-01-11T09:17:19Z,NA,NA,No,NA,34.40912815022453,-119.8476156001798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:17:19Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:17:19Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Lesser Scaup,NA,2,No,Water - Floating,NA,318,2018-01-11T09:17:49Z,NA,NA,No,NA,34.4092065077663,-119.8480455608242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:17:49Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:17:49Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Yellow-rumped Warbler,NA,2,No,Vegetation - Tree,NA,319,2018-01-11T09:18:55Z,NA,NA,No,NA,34.40939604871424,-119.8469058439687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:18:55Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:18:55Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,American Coot,NA,1,No,Water - Floating,NA,320,2018-01-11T09:19:13Z,NA,NA,No,NA,34.40914191525319,-119.8471247202843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:19:13Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:19:13Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Pied-billed Grebe,NA,1,No,Water - Floating,NA,321,2018-01-11T09:19:34Z,NA,NA,No,NA,34.40869824040274,-119.8477215313147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:19:34Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:19:34Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Ruddy Duck,NA,43,No,Water - Floating,NA,322,2018-01-11T09:19:50Z,NA,NA,No,NA,34.40923199968737,-119.8470994003697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:19:50Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:22:13Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Snowy Egret,NA,19,No,Vegetation - Herbaceous,NA,323,2018-01-11T09:22:45Z,NA,NA,No,NA,34.40818475381078,-119.8473252898327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:22:45Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:29:07Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Forster's Tern,NA,4,No,NA,NA,324,2018-01-11T09:23:05Z,NA,NA,No,NA,34.40861116366393,-119.8470335763173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:23:05Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:23:05Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Song Sparrow,NA,1,No,Vegetation - Tree,NA,325,2018-01-11T09:23:28Z,NA,NA,No,NA,34.40883391987899,-119.8461203265416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:23:28Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:23:28Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Double-crested Cormorant,NA,35,No,Water - Floating,NA,326,2018-01-11T09:26:13Z,NA,NA,No,hunting together,34.40838138309281,-119.8475161593727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:26:13Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:28:27Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Red-breasted Merganser,NA,2,No,Water - Floating,NA,327,2018-01-11T09:26:42Z,NA,NA,No,hunting together,34.40900141669309,-119.8466363664514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:26:42Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:26:42Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Red-breasted Merganser,NA,2,Yes,NA,NA,328,2018-01-11T09:27:32Z,NA,NA,No,NA,34.40836615641498,-119.84743218486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:27:32Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:27:32Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Lesser Scaup,NA,4,No,Water - Floating,NA,329,2018-01-11T09:28:52Z,NA,NA,No,NA,34.40839733089484,-119.8472368587779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:28:52Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:28:52Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
